,FFP_TIER,AVG_INTERVAL,avg_discount,EXCHANGE_COUNT,Point_NotFlight,Ration_L1Y_Flight_Count,L1Y_BP_SUM,P1Y_BP_SUM,Customer_Status
0,6,3.483253589,0.961639043,34,50,0.50952381,259111,246197,准流失
1,6,5.194244604,1.25231444,29,33,0.514285714,185122,177358,准流失
2,6,5.298507463,1.254675516,20,26,0.518518519,182087,169072,准流失
3,5,27.86363636,1.090869565,11,12,0.434782609,151210,186104,已流失
4,6,4.78807947,0.970657895,27,39,0.532894737,145396,128448,准流失
5,6,7.043956044,0.967692483,10,15,0.456521739,122755,190583,已流失
6,6,7.19,0.965346535,20,29,0.504950495,125664,123200,准流失
7,6,10.11111111,0.962070222,7,14,0.589041096,144267,157597,准流失
8,5,13.05454545,0.828478237,5,7,0.410714286,135828,127130,已流失
9,6,11.33333333,0.708010153,13,16,0.390625,96906,107949,已流失
10,6,16.83333333,0.988658044,1,3,0.534883721,157927,140394,准流失
11,6,5.027777778,0.95253487,15,66,0.606896552,154454,101639,准流失
12,5,23.0,0.799126984,3,4,0.517241379,120675,89594,准流失
13,6,6.196581197,1.398381742,14,20,0.559322034,132353,109261,准流失
14,6,14.87755102,0.921984841,9,12,0.5,148463,141454,准流失
15,4,31.19047619,1.026084586,6,8,0.5,119833,166331,准流失
16,6,6.84,1.3865249,15,22,0.544554455,114519,105476,准流失
17,6,17.58974359,0.837844243,12,13,0.625,105373,144509,准流失
18,6,11.20634921,1.401596264,16,23,0.5,104597,110416,准流失
19,6,18.67567568,0.70828541,0,3,0.473684211,92339,98699,已流失
20,6,6.438095238,1.369404116,4,9,0.58490566,145935,74706,准流失
21,6,32.90909091,1.061630924,7,9,0.652173913,157861,97712,准流失
22,6,7.47311828,0.741803833,5,46,0.542553191,121456,71713,准流失
23,6,32.78947368,1.004904443,8,9,0.35,103521,152816,已流失
24,5,15.88372093,0.787308444,10,12,0.613636364,129174,75627,准流失
25,6,11.24590164,0.902990019,7,10,0.677419355,119955,121764,准流失
26,6,3.433962264,1.146354614,0,49,0.44600939,89990,127819,已流失
27,6,9.493150685,1.433364428,8,14,0.459459459,97119,112691,已流失
28,6,7.08,1.33816985,3,11,0.514851485,118174,91188,准流失
29,6,8.26744186,1.424714581,9,15,0.517241379,114709,85157,准流失
30,6,13.46153846,1.469224298,3,7,0.490566038,90106,104969,已流失
31,6,7.574468085,1.414895104,8,14,0.305263158,64159,133063,已流失
32,6,5.492307692,0.944884271,14,20,0.557251908,94370,105346,准流失
33,6,7.712765957,1.398640194,8,19,0.410526316,82843,111483,已流失
34,6,15.80434783,0.725685618,5,7,0.531914894,92412,126430,准流失
35,4,23.41666667,0.937899941,9,10,0.52,89420,139431,准流失
36,4,27.82608696,1.087220053,6,10,0.25,44004,184223,已流失
37,6,11.37735849,1.462104927,5,11,0.407407407,77706,105630,已流失
38,6,4.381818182,0.890172305,10,25,0.590361446,129091,77817,准流失
39,6,8.5625,1.429179443,1,5,0.49382716,74810,110422,已流失
40,6,7.505154639,1.458541443,11,17,0.479591837,88923,102886,已流失
41,6,21.38235294,0.998554546,13,16,0.428571429,102448,128079,已流失
42,6,7.712765957,1.396985007,1,21,0.536842105,95271,95207,准流失
43,5,15.88888889,0.764737193,0,2,0.434782609,87218,89814,已流失
44,6,13.05660377,1.20853437,0,4,0.537037037,102443,106358,准流失
45,6,34.9,1.029507529,4,5,0.476190476,105348,114042,已流失
46,6,5.752293578,1.015978367,5,11,0.663636364,114250,76476,准流失
47,6,5.428571429,1.356053179,9,15,0.417910448,77366,103937,已流失
48,6,6.839622642,1.398992423,2,9,0.476635514,95303,86679,已流失
49,5,6.028985507,0.863479447,8,9,0.128571429,26406,169460,已流失
50,6,3.872340426,0.802633323,5,56,0.587301587,107240,74596,准流失
51,6,8.418604651,1.425177007,3,7,0.563218391,101683,84840,准流失
52,6,25.67857143,0.888869986,7,10,0.655172414,107069,85381,准流失
53,5,15.14893617,1.408197795,3,10,0.645833333,111644,54678,准流失
54,6,10.46268657,1.349375212,2,11,0.602941176,107021,68362,准流失
55,6,6.590909091,0.828452854,19,100,0.540540541,76562,107830,准流失
56,6,9.676470588,1.354943567,6,39,0.550724638,94899,68643,准流失
57,6,5.704,0.867522349,2,13,0.5,88700,83829,准流失
58,6,13.16666667,1.146000598,0,5,0.545454545,102472,60667,准流失
59,5,9.133333333,0.819187329,5,13,0.605263158,98456,56664,准流失
60,6,10.52238806,1.380410335,3,9,0.529411765,83022,82795,准流失
61,6,9.552631579,1.288018381,4,7,0.623376623,103881,66075,准流失
62,6,8.734939759,0.938031056,1,2,0.607142857,115899,66140,准流失
63,6,7.294736842,0.848239546,12,81,0.4375,70227,95143,已流失
64,6,23.34482759,1.057257212,2,16,0.7,125145,63742,准流失
65,6,8.333333333,1.426106262,8,15,0.447058824,69862,109712,已流失
66,5,18.58064516,0.944650121,8,11,0.40625,79001,109208,已流失
67,5,21.57575758,1.013669976,10,13,0.352941176,84707,98736,已流失
68,6,3.714285714,0.620507614,0,3,0.406091371,38180,61410,已流失
69,6,24.44827586,0.928504294,3,3,0.5,109978,88252,准流失
70,6,31.35294118,0.811871079,2,2,0.666666667,119407,41872,准流失
71,6,11.12698413,1.236256939,9,14,0.65625,129397,50289,准流失
72,6,4.885135135,0.774487057,4,8,0.543624161,71459,70368,准流失
73,6,11.93333333,1.183962818,3,5,0.62295082,112937,42835,准流失
74,5,17.45714286,0.806177069,2,4,0.583333333,101503,58794,准流失
75,6,32.66666667,0.992454374,0,1,0.727272727,137818,50115,准流失
76,6,16.0,0.995539285,1,3,0.826086957,166264,27516,准流失
77,4,45.0,1.019520072,3,4,0.625,105487,90726,准流失
78,6,7.00990099,1.179368992,1,36,0.598039216,94907,72084,准流失
79,5,9.0375,1.034587737,20,64,0.469135802,53261,114588,已流失
80,6,21.93103448,0.782406571,4,5,0.766666667,105415,43103,准流失
81,5,5.492063492,0.956332827,7,25,0.582677165,102604,65475,准流失
82,6,11.47272727,1.394863786,5,8,0.607142857,93789,55667,准流失
83,6,8.756410256,0.777341772,2,24,0.569620253,74720,41339,准流失
84,6,7.520833333,1.036667137,3,51,0.567010309,95431,57124,准流失
85,6,4.624203822,0.784701427,3,6,0.512658228,70461,72165,准流失
86,6,11.33333333,1.391299306,0,9,0.515625,77117,67686,准流失
87,6,14.14,1.165835855,1,8,0.490196078,57546,105244,已流失
88,6,19.96428571,1.017859044,6,13,0.413793103,68967,112904,已流失
89,6,10.5,1.387490292,10,15,0.507246377,78007,75759,准流失
90,6,8.091954023,1.281481989,6,15,0.693181818,117456,33334,准流失
91,6,15.65853659,0.966069448,4,8,0.904761905,121837,56995,未流失
92,6,5.5859375,1.429138536,8,40,0.480620155,71986,78071,已流失
93,6,10.51515152,1.265322199,0,5,0.52238806,75765,72726,准流失
94,5,32.0,1.059166667,0,2,0.916666667,166331,15121,未流失
95,6,7.323232323,0.952273652,2,68,0.56,85597,70697,准流失
96,6,10.57352941,1.297050351,14,47,0.492753623,62537,85868,已流失
97,6,36.375,1.226505277,2,3,0.588235294,94524,63016,准流失
98,6,65.09090909,1.046666667,2,6,0.416666667,75605,105847,已流失
99,6,12.83018868,1.053910364,0,0,0.37037037,52270,82887,已流失
100,6,9.076923077,1.228445376,7,48,0.506329114,75934,68713,准流失
101,6,8.38372093,1.445489778,9,13,0.505747126,73225,65181,准流失
102,5,13.21153846,1.046215562,12,18,0.433962264,51646,77319,已流失
103,6,7.824175824,1.118316089,13,41,0.5,67091,72368,准流失
104,6,14.91489362,1.001144569,5,16,0.520833333,84423,84402,准流失
105,6,8.112359551,1.390945611,6,11,0.488888889,74620,63065,已流失
106,6,12.90909091,1.435274261,0,3,0.482142857,71051,67263,已流失
107,6,4.979310345,0.783239829,8,17,0.493150685,71091,69905,已流失
108,6,21.05882353,0.894261083,0,0,0.428571429,49388,101905,已流失
109,6,20.40625,0.85318887,3,5,0.303030303,5515,155411,已流失
110,6,5.113475177,0.835532119,7,13,0.584507042,92997,45629,准流失
111,6,21.43333333,0.723434195,3,39,0.64516129,80884,45355,准流失
112,6,13.42307692,1.434114409,5,8,0.452830189,66396,80123,已流失
113,5,32.35,0.925114251,7,8,0.523809524,80985,83984,准流失
114,4,41.86666667,0.75375,0,1,0.625,67460,48852,准流失
115,6,8.630952381,0.946174922,15,21,0.564705882,87905,63440,准流失
116,6,9.571428571,1.225504039,6,10,0.535211268,74456,67107,准流失
117,6,5.465116279,0.873661907,2,64,0.615384615,89010,56204,准流失
118,6,7.863636364,0.978068228,3,50,0.584269663,82077,44424,准流失
119,6,8.756097561,1.411593411,11,17,0.638554217,86427,52772,准流失
120,6,7.255102041,0.896966187,9,48,0.555555556,75573,71224,准流失
121,4,17.79487179,0.731685018,2,6,0.55,67164,57523,准流失
122,6,14.07843137,1.458000784,5,7,0.519230769,64964,69782,准流失
123,6,10.96875,1.210876087,12,36,0.6,75978,69874,准流失
124,5,19.0,0.951756044,1,4,0.558823529,82330,88994,准流失
125,6,8.829268293,0.960765569,0,4,0.614457831,99255,49838,准流失
